numero;type;color;comment;text_fr;text_en;tTime_utc;tTS_ms;h_sec;h_UTC;tTime_loc;h_loc;alt_m;alt_ft;label_posx;label_posy;label_alih;label_aliv;longitude;latitude;id
;;;;;;2022-11-11 07:42:25+00:00;1668152545000,00;27745.0;07 h 42 min 25 s;2022-11-11 08:42:25+01:00;08 h 42 min 25 s;1799.05;5902.4;;;;;8.514667;47.0111;1668152545000,00
;;;;;;2022-11-11 07:42:27+00:00;1668152547000,00;27747.0;07 h 42 min 27 s;2022-11-11 08:42:27+01:00;08 h 42 min 27 s;1870.99;6138.42;;;;;8.513288;47.01087;1668152547000,00
;;;;;;2022-11-11 07:42:28+00:00;1668152548000,00;27748.0;07 h 42 min 28 s;2022-11-11 08:42:28+01:00;08 h 42 min 28 s;1870.99;6138.42;;;;;8.513288;47.01087;1668152548000,00
;;;;;;2022-11-11 07:42:29+00:00;1668152549000,00;27749.0;07 h 42 min 29 s;2022-11-11 08:42:29+01:00;08 h 42 min 29 s;1888.16;6194.75;;;;;8.512904;47.01075;1668152549000,00
;;;;;;2022-11-11 07:42:29+00:00;1668152549000,00;27749.0;07 h 42 min 29 s;2022-11-11 08:42:29+01:00;08 h 42 min 29 s;1888.16;6194.75;;;;;8.512904;47.01075;1668152549000,00
;;;;;;2022-11-11 07:42:31+00:00;1668152551000,00;27751.0;07 h 42 min 31 s;2022-11-11 08:42:31+01:00;08 h 42 min 31 s;1887.59;6192.88;;;;;8.512078;47.01048000000001;1668152551000,00
;;;;;;2022-11-11 07:42:31+00:00;1668152551000,00;27751.0;07 h 42 min 31 s;2022-11-11 08:42:31+01:00;08 h 42 min 31 s;1887.59;6192.88;;;;;8.512078;47.01048000000001;1668152551000,00
;;;;;;2022-11-11 07:42:33+00:00;1668152553000,00;27753.0;07 h 42 min 33 s;2022-11-11 08:42:33+01:00;08 h 42 min 33 s;1878.31;6162.42;;;;;8.511144;47.01003;1668152553000,00
;;;;;;2022-11-11 07:42:55+00:00;1668152575000,00;27775.0;07 h 42 min 55 s;2022-11-11 08:42:55+01:00;08 h 42 min 55 s;1864.92;6118.49;;;;;8.499921;47.00518;1668152575000,00
;;;;;;2022-11-11 07:42:58+00:00;1668152578000,00;27778.0;07 h 42 min 58 s;2022-11-11 08:42:58+01:00;08 h 42 min 58 s;1866.35;6123.19;;;;;8.498943;47.00478;1668152578000,00
;;;;;;2022-11-11 07:43:03+00:00;1668152583000,00;27783.0;07 h 43 min 03 s;2022-11-11 08:43:03+01:00;08 h 43 min 03 s;1871.38;6139.7;;;;;8.496501;47.00379;1668152583000,00
;;;;;;2022-11-11 07:43:08+00:00;1668152588000,00;27788.0;07 h 43 min 08 s;2022-11-11 08:43:08+01:00;08 h 43 min 08 s;1881.21;6171.95;;;;;8.494054;47.00277;1668152588000,00
;;;;;;2022-11-11 07:43:13+00:00;1668152593000,00;27793.0;07 h 43 min 13 s;2022-11-11 08:43:13+01:00;08 h 43 min 13 s;1888.52;6195.95;;;;;8.491586;47.00172;1668152593000,00
;;;;;;2022-11-11 07:43:16+00:00;1668152596000,00;27796.0;07 h 43 min 16 s;2022-11-11 08:43:16+01:00;08 h 43 min 16 s;1895.71;6219.51;;;;;8.489594;47.00089;1668152596000,00
;;;;;;2022-11-11 07:43:18+00:00;1668152598000,00;27798.0;07 h 43 min 18 s;2022-11-11 08:43:18+01:00;08 h 43 min 18 s;1898.32;6228.08;;;;;8.489088;47.00069;1668152598000,00
;;;;;;2022-11-11 07:43:23+00:00;1668152603000,00;27803.0;07 h 43 min 23 s;2022-11-11 08:43:23+01:00;08 h 43 min 23 s;1911.6;6271.67;;;;;8.486587;46.99966;1668152603000,00
;;;;;;2022-11-11 07:43:28+00:00;1668152608000,00;27808.0;07 h 43 min 28 s;2022-11-11 08:43:28+01:00;08 h 43 min 28 s;1922.51;6307.44;;;;;8.484071;46.99867;1668152608000,00
;;;;;;2022-11-11 07:43:30+00:00;1668152610000,00;27810.0;07 h 43 min 30 s;2022-11-11 08:43:30+01:00;08 h 43 min 30 s;1927.16;6322.7;;;;;8.482515;46.99809;1668152610000,00
;;;;;;2022-11-11 07:43:33+00:00;1668152613000,00;27813.0;07 h 43 min 33 s;2022-11-11 08:43:33+01:00;08 h 43 min 33 s;1926.58;6320.8;;;;;8.481475;46.99771;1668152613000,00
;;;;;;2022-11-11 07:43:37+00:00;1668152617000,00;27817.0;07 h 43 min 37 s;2022-11-11 08:43:37+01:00;08 h 43 min 37 s;1934.41;6346.5;;;;;8.478805;46.99669;1668152617000,00
;;;;;;2022-11-11 07:43:38+00:00;1668152618000,00;27818.0;07 h 43 min 38 s;2022-11-11 08:43:38+01:00;08 h 43 min 38 s;1936.3;6352.7;;;;;8.478805;46.99669;1668152618000,00
;;;;;;2022-11-11 07:43:42+00:00;1668152622000,00;27822.0;07 h 43 min 42 s;2022-11-11 08:43:42+01:00;08 h 43 min 42 s;1943.23;6375.44;;;;;8.476615;46.99586;1668152622000,00
;;;;;;2022-11-11 07:43:43+00:00;1668152623000,00;27823.0;07 h 43 min 43 s;2022-11-11 08:43:43+01:00;08 h 43 min 43 s;1944.75;6380.41;;;;;8.476054;46.99566;1668152623000,00
;;;;;;2022-11-11 07:43:48+00:00;1668152628000,00;27828.0;07 h 43 min 48 s;2022-11-11 08:43:48+01:00;08 h 43 min 48 s;1949.22;6395.1;;;;;8.473186;46.99476;1668152628000,00
;;;;;;2022-11-11 07:43:51+00:00;1668152631000,00;27831.0;07 h 43 min 51 s;2022-11-11 08:43:51+01:00;08 h 43 min 51 s;1959.95;6430.27;;;;;8.470862;46.99419;1668152631000,00
;;;;;;2022-11-11 07:43:53+00:00;1668152633000,00;27833.0;07 h 43 min 53 s;2022-11-11 08:43:53+01:00;08 h 43 min 53 s;1963.89;6443.22;;;;;8.470282;46.99405;1668152633000,00
;;;;;;2022-11-11 07:43:58+00:00;1668152638000,00;27838.0;07 h 43 min 58 s;2022-11-11 08:43:58+01:00;08 h 43 min 58 s;1971.33;6467.62;;;;;8.467488;46.9932;1668152638000,00
;;;;;;2022-11-11 07:44:03+00:00;1668152643000,00;27843.0;07 h 44 min 03 s;2022-11-11 08:44:03+01:00;08 h 44 min 03 s;1987.48;6520.62;;;;;8.464786;46.99215;1668152643000,00
;;;;;;2022-11-11 07:44:05+00:00;1668152645000,00;27845.0;07 h 44 min 05 s;2022-11-11 08:44:05+01:00;08 h 44 min 05 s;1986.54;6517.51;;;;;8.463759;46.99165;1668152645000,00
;;;;;;2022-11-11 07:44:06+00:00;1668152646000,00;27846.0;07 h 44 min 06 s;2022-11-11 08:44:06+01:00;08 h 44 min 06 s;1991.55;6533.96;;;;;8.462741;46.9911;1668152646000,00
;;;;;;2022-11-11 07:44:08+00:00;1668152648000,00;27848.0;07 h 44 min 08 s;2022-11-11 08:44:08+01:00;08 h 44 min 08 s;1994.19;6542.63;;;;;8.462241;46.9908;1668152648000,00
;;;;;;2022-11-11 07:44:13+00:00;1668152653000,00;27853.0;07 h 44 min 13 s;2022-11-11 08:44:13+01:00;08 h 44 min 13 s;1997.93;6554.9;;;;;8.459845;46.98932;1668152653000,00
;;;;;;2022-11-11 07:44:16+00:00;1668152656000,00;27856.0;07 h 44 min 16 s;2022-11-11 08:44:16+01:00;08 h 44 min 16 s;2000.84;6564.45;;;;;8.457701;46.98832;1668152656000,00
;;;;;;2022-11-11 07:44:18+00:00;1668152658000,00;27858.0;07 h 44 min 18 s;2022-11-11 08:44:18+01:00;08 h 44 min 18 s;2003.81;6574.17;;;;;8.457129;46.9881;1668152658000,00
;;;;;;2022-11-11 07:44:23+00:00;1668152663000,00;27863.0;07 h 44 min 23 s;2022-11-11 08:44:23+01:00;08 h 44 min 23 s;2012.34;6602.17;;;;;8.454272;46.98694;1668152663000,00
;;;;;;2022-11-11 07:44:27+00:00;1668152667000,00;27867.0;07 h 44 min 27 s;2022-11-11 08:44:27+01:00;08 h 44 min 27 s;2024.68;6642.64;;;;;8.451543;46.98558;1668152667000,00
;;;;;;2022-11-11 07:44:28+00:00;1668152668000,00;27868.0;07 h 44 min 28 s;2022-11-11 08:44:28+01:00;08 h 44 min 28 s;2024.68;6642.64;;;;;8.451543;46.98558;1668152668000,00
;;;;;;2022-11-11 07:44:33+00:00;1668152673000,00;27873.0;07 h 44 min 33 s;2022-11-11 08:44:33+01:00;08 h 44 min 33 s;2035.32;6677.56;;;;;8.448972;46.98412;1668152673000,00
;;;;;;2022-11-11 07:44:38+00:00;1668152678000,00;27878.0;07 h 44 min 38 s;2022-11-11 08:44:38+01:00;08 h 44 min 38 s;2047.68;6718.11;;;;;8.446425;46.98268;1668152678000,00
;;;;;;2022-11-11 07:44:41+00:00;1668152681000,00;27881.0;07 h 44 min 41 s;2022-11-11 08:44:41+01:00;08 h 44 min 41 s;2057.5;6750.34;;;;;8.444399;46.98146999999999;1668152681000,00
;;;;;;2022-11-11 07:44:43+00:00;1668152683000,00;27883.0;07 h 44 min 43 s;2022-11-11 08:44:43+01:00;08 h 44 min 43 s;2060.47;6760.08;;;;;8.443896;46.98116000000001;1668152683000,00
;;;;;;2022-11-11 07:44:48+00:00;1668152688000,00;27888.0;07 h 44 min 48 s;2022-11-11 08:44:48+01:00;08 h 44 min 48 s;2074.91;6807.45;;;;;8.441365;46.97958000000001;1668152688000,00
;;;;;;2022-11-11 07:44:53+00:00;1668152693000,00;27893.0;07 h 44 min 53 s;2022-11-11 08:44:53+01:00;08 h 44 min 53 s;2085.93;6843.59;;;;;8.438903;46.97799;1668152693000,00
;;;;;;2022-11-11 07:44:53+00:00;1668152693000,00;27893.0;07 h 44 min 53 s;2022-11-11 08:44:53+01:00;08 h 44 min 53 s;2085.93;6843.59;;;;;8.438437;46.97768;1668152693000,00
;;;;;;2022-11-11 07:44:56+00:00;1668152696000,00;27896.0;07 h 44 min 56 s;2022-11-11 08:44:56+01:00;08 h 44 min 56 s;2089.72;6856.04;;;;;8.436944;46.97673;1668152696000,00
;;;;;;2022-11-11 07:44:58+00:00;1668152698000,00;27898.0;07 h 44 min 58 s;2022-11-11 08:44:58+01:00;08 h 44 min 58 s;2092.38;6864.77;;;;;8.436446;46.97643;1668152698000,00
;;;;;;2022-11-11 07:45:03+00:00;1668152703000,00;27903.0;07 h 45 min 03 s;2022-11-11 08:45:03+01:00;08 h 45 min 03 s;2107.1;6913.05;;;;;8.434;46.97479999999999;1668152703000,00
;;;;;;2022-11-11 07:45:06+00:00;1668152706000,00;27906.0;07 h 45 min 06 s;2022-11-11 08:45:06+01:00;08 h 45 min 06 s;2120.82;6958.08;;;;;8.432096;46.97346000000001;1668152706000,00
;;;;;;2022-11-11 07:45:08+00:00;1668152708000,00;27908.0;07 h 45 min 08 s;2022-11-11 08:45:08+01:00;08 h 45 min 08 s;2124.64;6970.59;;;;;8.431631;46.97313;1668152708000,00
;;;;;;2022-11-11 07:45:13+00:00;1668152713000,00;27913.0;07 h 45 min 13 s;2022-11-11 08:45:13+01:00;08 h 45 min 13 s;2137.74;7013.57;;;;;8.429303;46.97143;1668152713000,00
;;;;;;2022-11-11 07:45:17+00:00;1668152717000,00;27917.0;07 h 45 min 17 s;2022-11-11 08:45:17+01:00;08 h 45 min 17 s;2152.55;7062.17;;;;;8.426839;46.96984;1668152717000,00
;;;;;;2022-11-11 07:45:18+00:00;1668152718000,00;27918.0;07 h 45 min 18 s;2022-11-11 08:45:18+01:00;08 h 45 min 18 s;2152.55;7062.17;;;;;8.426839;46.96984;1668152718000,00
;;;;;;2022-11-11 07:45:23+00:00;1668152723000,00;27923.0;07 h 45 min 23 s;2022-11-11 08:45:23+01:00;08 h 45 min 23 s;2167.56;7111.43;;;;;8.424381;46.96826;1668152723000,00
;;;;;;2022-11-11 07:45:28+00:00;1668152728000,00;27928.0;07 h 45 min 28 s;2022-11-11 08:45:28+01:00;08 h 45 min 28 s;2177.28;7143.31;;;;;8.421891;46.96664;1668152728000,00
;;;;;;2022-11-11 07:45:29+00:00;1668152729000,00;27929.0;07 h 45 min 29 s;2022-11-11 08:45:29+01:00;08 h 45 min 29 s;2178.77;7148.21;;;;;8.420871;46.96601;1668152729000,00
;;;;;;2022-11-11 07:45:30+00:00;1668152730000,00;27930.0;07 h 45 min 30 s;2022-11-11 08:45:30+01:00;08 h 45 min 30 s;2183.76;7164.57;;;;;8.420358;46.96569;1668152730000,00
;;;;;;2022-11-11 07:45:33+00:00;1668152733000,00;27933.0;07 h 45 min 33 s;2022-11-11 08:45:33+01:00;08 h 45 min 33 s;2188.75;7180.94;;;;;8.419321;46.96504999999999;1668152733000,00
;;;;;;2022-11-11 07:45:38+00:00;1668152738000,00;27938.0;07 h 45 min 38 s;2022-11-11 08:45:38+01:00;08 h 45 min 38 s;2204.0;7230.95;;;;;8.416776;46.96347;1668152738000,00
;;;;;;2022-11-11 07:45:40+00:00;1668152740000,00;27940.0;07 h 45 min 40 s;2022-11-11 08:45:40+01:00;08 h 45 min 40 s;2215.29;7268.0;;;;;8.415282;46.96251999999999;1668152740000,00
;;;;;;2022-11-11 07:45:43+00:00;1668152743000,00;27943.0;07 h 45 min 43 s;2022-11-11 08:45:43+01:00;08 h 45 min 43 s;2224.45;7298.07;;;;;8.414285;46.9619;1668152743000,00
;;;;;;2022-11-11 07:45:48+00:00;1668152748000,00;27948.0;07 h 45 min 48 s;2022-11-11 08:45:48+01:00;08 h 45 min 48 s;2239.83;7348.53;;;;;8.411822;46.96037;1668152748000,00
;;;;;;2022-11-11 07:45:51+00:00;1668152751000,00;27951.0;07 h 45 min 51 s;2022-11-11 08:45:51+01:00;08 h 45 min 51 s;2248.1;7375.67;;;;;8.409842;46.95919;1668152751000,00
;;;;;;2022-11-11 07:45:53+00:00;1668152753000,00;27953.0;07 h 45 min 53 s;2022-11-11 08:45:53+01:00;08 h 45 min 53 s;2250.39;7383.16;;;;;8.409335;46.9589;1668152753000,00
;;;;;;2022-11-11 07:45:58+00:00;1668152758000,00;27958.0;07 h 45 min 58 s;2022-11-11 08:45:58+01:00;08 h 45 min 58 s;2262.77;7423.79;;;;;8.406742;46.95745;1668152758000,00
;;;;;;2022-11-11 07:46:03+00:00;1668152763000,00;27963.0;07 h 46 min 03 s;2022-11-11 08:46:03+01:00;08 h 46 min 03 s;2275.2;7464.57;;;;;8.404132;46.95598;1668152763000,00
;;;;;;2022-11-11 07:46:04+00:00;1668152764000,00;27964.0;07 h 46 min 04 s;2022-11-11 08:46:04+01:00;08 h 46 min 04 s;2280.36;7481.51;;;;;8.40309;46.95539;1668152764000,00
;;;;;;2022-11-11 07:46:06+00:00;1668152766000,00;27966.0;07 h 46 min 06 s;2022-11-11 08:46:06+01:00;08 h 46 min 06 s;2283.34;7491.29;;;;;8.40204;46.95482000000001;1668152766000,00
;;;;;;2022-11-11 07:46:08+00:00;1668152768000,00;27968.0;07 h 46 min 08 s;2022-11-11 08:46:08+01:00;08 h 46 min 08 s;2291.95;7519.53;;;;;8.401509;46.95452;1668152768000,00
;;;;;;2022-11-11 07:46:13+00:00;1668152773000,00;27973.0;07 h 46 min 13 s;2022-11-11 08:46:13+01:00;08 h 46 min 13 s;2308.24;7572.95;;;;;8.398907;46.95309000000001;1668152773000,00
;;;;;;2022-11-11 07:46:14+00:00;1668152774000,00;27974.0;07 h 46 min 14 s;2022-11-11 08:46:14+01:00;08 h 46 min 14 s;2312.52;7587.01;;;;;8.397887;46.95251;1668152774000,00
;;;;;;2022-11-11 07:46:18+00:00;1668152778000,00;27978.0;07 h 46 min 18 s;2022-11-11 08:46:18+01:00;08 h 46 min 18 s;2317.13;7602.13;;;;;8.396343;46.95163;1668152778000,00
;;;;;;2022-11-11 07:46:23+00:00;1668152783000,00;27983.0;07 h 46 min 23 s;2022-11-11 08:46:23+01:00;08 h 46 min 23 s;2329.02;7641.14;;;;;8.393663;46.95019;1668152783000,00
;;;;;;2022-11-11 07:46:28+00:00;1668152788000,00;27988.0;07 h 46 min 28 s;2022-11-11 08:46:28+01:00;08 h 46 min 28 s;2340.32;7678.21;;;;;8.391011;46.94870000000001;1668152788000,00
;;;;;;2022-11-11 07:46:28+00:00;1668152788000,00;27988.0;07 h 46 min 28 s;2022-11-11 08:46:28+01:00;08 h 46 min 28 s;2340.32;7678.21;;;;;8.391011;46.94870000000001;1668152788000,00
;;;;;;2022-11-11 07:46:30+00:00;1668152790000,00;27990.0;07 h 46 min 30 s;2022-11-11 08:46:30+01:00;08 h 46 min 30 s;2343.37;7688.23;;;;;8.389367;46.94778;1668152790000,00
;;;;;;2022-11-11 07:46:33+00:00;1668152793000,00;27993.0;07 h 46 min 33 s;2022-11-11 08:46:33+01:00;08 h 46 min 33 s;2347.03;7700.23;;;;;8.388238;46.94723;1668152793000,00
;;;;;;2022-11-11 07:46:38+00:00;1668152798000,00;27998.0;07 h 46 min 38 s;2022-11-11 08:46:38+01:00;08 h 46 min 38 s;2358.45;7737.69;;;;;8.385421;46.94581999999999;1668152798000,00
;;;;;;2022-11-11 07:46:42+00:00;1668152802000,00;28002.0;07 h 46 min 42 s;2022-11-11 08:46:42+01:00;08 h 46 min 42 s;2369.68;7774.54;;;;;8.382568;46.94444;1668152802000,00
;;;;;;2022-11-11 07:46:43+00:00;1668152803000,00;28003.0;07 h 46 min 43 s;2022-11-11 08:46:43+01:00;08 h 46 min 43 s;2372.51;7783.83;;;;;8.382568;46.94444;1668152803000,00
;;;;;;2022-11-11 07:46:43+00:00;1668152803000,00;28003.0;07 h 46 min 43 s;2022-11-11 08:46:43+01:00;08 h 46 min 43 s;2375.18;7792.59;;;;;8.382017;46.94416;1668152803000,00
;;;;;;2022-11-11 07:46:48+00:00;1668152808000,00;28008.0;07 h 46 min 48 s;2022-11-11 08:46:48+01:00;08 h 46 min 48 s;2384.2;7822.19;;;;;8.379866;46.94296;1668152808000,00
;;;;;;2022-11-11 07:46:53+00:00;1668152813000,00;28013.0;07 h 46 min 53 s;2022-11-11 08:46:53+01:00;08 h 46 min 53 s;2394.12;7854.71;;;;;8.377198;46.94144;1668152813000,00
;;;;;;2022-11-11 07:46:57+00:00;1668152817000,00;28017.0;07 h 46 min 57 s;2022-11-11 08:46:57+01:00;08 h 46 min 57 s;2407.3;7897.97;;;;;8.37451;46.93992999999999;1668152817000,00
